Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification STUDY,Classification AUS,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Typeofmanipulation(Tile/Survey),Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Field/Lab,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2
Lee_2018,Lee,2018,Thesis,Y,5.333333333,,,7.941452428,12.33333333,,,20.33387977,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,9.666666667,,,7.527726527,37.16666667,,,27.35263546,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp3,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,14,,,9.121403401,34.66666667,,,20.73322615,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp3,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,12.33333333,,,14.26417424,33.33333333,,,18.61898673,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp3,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.5,,,0.447213595,0.5,,,0.447213595,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.416666667,,,0.49159604,0.25,,,0.418330013,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.083333333,,,0.204124145,0.25,,,0.418330013,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,5,,,7.014271167,14.5,,,10.94988584,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,7.166666667,,,5.564770136,33.66666667,,,13.35165408,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,3.333333333,,,3.829708431,9.833333333,,,4.119061382,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.5,,,0.547722558,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.666666667,,,0.516397779,4.666666667,,,3.204163958,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.5,,,0.836660027,0.5,,,0.547722558,6,6,PercentageCover,Invertebratess,Bryozoans,Watersipora subtorquata,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.416666667,,,0.49159604,6,5,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,Zoobotryn in dataset,
Lee_2018,Lee,2018,Thesis,Y,0.2,,,0.447213595,0.083333333,,,0.204124145,6,5,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.25,,,0.418330013,6,5,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.166666667,,,0.40824829,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.25,,,0.273861279,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.583333333,,,0.49159604,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.083333333,,,0.204124145,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.166666667,,,0.40824829,0.5,,,0.774596669,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,1.166666667,,,1.471960144,2.333333333,,,5.715476066,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.083333333,,,0.204124145,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.5,,,0.836660027,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,0.333333333,,,0.816496581,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,1.333333333,,,3.265986324,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0.666666667,,,0.752772653,0.416666667,,,0.801040989,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,1.5,,,2.738612788,1,,,1.264911064,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,1.5,,,3.674234614,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,1.666666667,,,2.250925735,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,1.833333333,,,4.490731195,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,5.166666667,,,6.997618643,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,1.666666667,,,3.204163958,8.128205128,,,6.478853479,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,1,,,1.549193338,9.166666667,,,10.32311323,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,5,,,7.974960815,10.33333333,,,12.48465725,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,18,,,7.615773106,27.66666667,,,22.67744842,6,5,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,11.5,,,11.5758369,31.5,,,21.12581359,6,5,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,31,,,21.94310826,25.66666667,,,36.08138948,6,5,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,34.33333333,,,26.90477033,27.16666667,,,27.542089,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,18.33333333,,,13.21615173,43.33333333,,,32.11645476,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,40.16666667,,,37.93371412,67.66666667,,,40.44584857,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp2,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,20.5,,,25.46958971,22.33333333,,,24.96130338,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp3,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,29.83333333,,,24.95128587,27.33333333,,,26.61327989,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp3,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,12,,,18.71897433,16.33333333,,,24.86496866,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp3,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,13.16666667,,,6.735478206,32.33333333,,,11.67333143,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,11.5,,,8.167006796,20,,,15.17893277,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,17.5,,,9.565563235,39,,,15.86190405,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp4,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,0,,,0,1,,,1.673320053,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,4,,,9.797958971,2.333333333,,,4.082482905,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,12.33333333,,,30.21037349,6,,,14.69693846,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp5,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,February,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,9,,,9.939818912,20.46153846,,,16.46024438,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,13.66666667,,,12.14358541,16.33333333,,,8.617811014,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,12.66666667,,,10.93008082,29.66666667,,,25.84311643,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp6,Wirrina Cove,9 weeks,63,9,2.071231969,Field,2013,April,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,12,,,11.22497216,0.833333333,,,1.169045194,6,5,PercentageCover,Invertebrates,Ascidians,Diplosoma,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Wood,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,10.4,,,6.949820142,1.75,,,3.158322339,6,5,PercentageCover,Invertebrates,Ascidians,Diplosoma,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Cement,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
Lee_2018,Lee,2018,Thesis,Y,15.4,,,14.97664849,11.58333333,,,17.8225045,6,5,PercentageCover,Invertebrates,Ascidians,Diplosoma,NIS,NIS,0.0121,0.01,,Tile,vertical,downfacing,1m,1,Y,Exp1,North Haven Harbour,9 weeks,63,9,2.071231969,Field,2012,December,"34°47'9""S","138°29'15""E",Australia,Orientation,Acrylic,,floating,,Shaded,Yes,raw data supplied,,,Orientation_upvert,,
