Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification STUDY,Classification AUS,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Typeofmanipulation(Tile/Survey),Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Field/Lab,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,4.732510288,,,7.424534385,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Microporella coronata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,M. sp. in raw data
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.308641975,,,0.516456806,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.504010235,1.234567901,,,1.352401376,6,6,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.028806585,,,0.504010235,0.308641975,,,0.516456806,6,6,PercentageCover,Invertebrates,Bryozoans,Conopeum seurati,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,3.703703704,,,3.469992425,1.440329218,,,1.858697908,6,6,PercentageCover,Invertebrates,Bryozoans,Conopeum seurati,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.514403292,,,0.988939493,0.823045268,,,1.495135977,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus amphitrite,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.33744856,,,1.848419315,1.543209876,,,0.936157462,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus amphitrite,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,34.6707819,,,6.20260314,8.539094651,,,3.873016142,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,18.10699589,,,5.666473904,12.65432099,,,3.117131154,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.514403292,,,0.464674477,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula neritina,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula neritina,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Bryozoans,Celleporaria nodulosa,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,C. sp. in raw data
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.318764062,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Celleporaria nodulosa,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,C. sp. in raw data
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.514403292,,,0.988939493,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
