"","effectname","beta","percentage_increase_or_decrease_on_treatment","real.effect.value","pval","ci.lb","ci.ub","I2_total","I2_study","I2_Study_Experiment","I2_Study_Experiment_Duration","I2_Effect_ID","I2_Species","I2_Phylogeny","R2_marginal_fixed","R2_conditional_fixed_random","Moderator_significance_stat","Moderator_significance_pval","AIC"
"intrcpt","intrcpt",16.0237780841551,909993632.549461,9099937.32549461,0.884794086291489,-200.727066445991,232.774622614301,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_StatusMovement_NI","Feature_StatusMovement_NI",0.126833479039906,13.5227962790824,1.13522796279082,0.368662527182042,-0.149689516601911,0.403356474681722,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_StatusOrientation_N","Feature_StatusOrientation_N",0.559927481194958,75.0545548221622,1.75054554822162,0.159315340882494,-0.21984719373601,1.33970215612593,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_StatusOrientation_NI","Feature_StatusOrientation_NI",0.585258661159953,79.5455340142998,1.795455340143,0.157422227217615,-0.226093934674997,1.3966112569949,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_StatusSubstrate_N","Feature_StatusSubstrate_N",0.792805056055593,120.958575339075,2.20958575339075,0.00105908215170862,0.318245834840618,1.26736427727057,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_StatusSubstrate_NI","Feature_StatusSubstrate_NI",0.798474352013178,122.214812522515,2.22214812522515,0.000999771834907308,0.322881668090859,1.2740670359355,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_TaxonomicGroupMovement_Anthozoans","Feature_TaxonomicGroupMovement_Anthozoans",0.0807978049249204,8.41516642765066,1.08415166427651,0.896365700777348,-1.13498933640527,1.29658494625511,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_TaxonomicGroupMovement_Ascidians","Feature_TaxonomicGroupMovement_Ascidians",1.06782058750815,190.903260424042,2.90903260424042,0.0000196290072828143,0.577575611365343,1.55806556365096,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_TaxonomicGroupMovement_Barnacles","Feature_TaxonomicGroupMovement_Barnacles",0.698752924438275,101.124297092245,2.01124297092245,0.00497729468870045,0.211115121581483,1.18639072729507,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_TaxonomicGroupMovement_Bivalves","Feature_TaxonomicGroupMovement_Bivalves",2.60327440684042,1250.78960471153,13.5078960471153,0.00000000000144435555071026,1.8825796836111,3.32396913006974,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_TaxonomicGroupMovement_Bryozoans","Feature_TaxonomicGroupMovement_Bryozoans",-0.223515698707031,-20.0297662523655,0.799702337476345,0.29088877869904,-0.638298458338543,0.191267060924482,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_TaxonomicGroupMovement_Polychaetes","Feature_TaxonomicGroupMovement_Polychaetes",-0.277432158202031,-24.2273031580801,0.757726968419199,0.254507241423391,-0.754633940878177,0.199769624474116,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
"Feature_TaxonomicGroupMovement_Poriferans","Feature_TaxonomicGroupMovement_Poriferans",0.158371854868078,17.1601779540651,1.17160177954065,0.643314649310649,-0.511944854575263,0.828688564311419,77.4006168312478,50.4606054470683,0.9119433507742,0.911941158274201,22.2806165067979,2.83523661097856,0.000273757354620495,8.17363181766191,73.5667727410575,207.251287076703,0.00000000000000000000000000000122494560034995,3922.20214075681
