"","effectname","beta","se","percentage_increase_or_decrease_on_treatment","real.effect.value","pval","ci.lb","ci.ub","I2_total","I2_study","I2_Effect_ID","I2_Species","I2_Phylogeny","R2_marginal_fixed","R2_conditional_fixed_random","Moderator_significance_stat","Moderator_significance_pval","AIC"
"Feature_ClassificationMovement_N","Feature_ClassificationMovement_N",0.182026864144686,0.175651536948579,19.9646420922014,1.19964642092201,0.300064392939558,-0.162243822103636,0.526297550393008,15.0129212632974,3.22020831311854,3.42353147037746,4.8290100792798,3.54017140052156,3.11473524063038,77.9063816360345,11.3919325075771,0.0769927198019239,5290.4091311811
"Feature_ClassificationMovement_NIS","Feature_ClassificationMovement_NIS",0.0928986909651331,0.177587655981191,9.73505581105991,1.0973505581106,0.600894524272743,-0.255166718856891,0.440964100787157,15.0129212632974,3.22020831311854,3.42353147037746,4.8290100792798,3.54017140052156,3.11473524063038,77.9063816360345,11.3919325075771,0.0769927198019239,5290.4091311811
"Feature_ClassificationOrientation_N","Feature_ClassificationOrientation_N",0.107777414170471,0.164778043948283,11.379980174032,1.11379980174032,0.513062646251982,-0.215181617411123,0.430736445752064,15.0129212632974,3.22020831311854,3.42353147037746,4.8290100792798,3.54017140052156,3.11473524063038,77.9063816360345,11.3919325075771,0.0769927198019239,5290.4091311811
"Feature_ClassificationOrientation_NIS","Feature_ClassificationOrientation_NIS",0.23004429463671,0.169624293431054,25.8655760394396,1.2586557603944,0.175035864794038,-0.10241321139121,0.562501800664631,15.0129212632974,3.22020831311854,3.42353147037746,4.8290100792798,3.54017140052156,3.11473524063038,77.9063816360345,11.3919325075771,0.0769927198019239,5290.4091311811
"Feature_ClassificationSubstrate_N","Feature_ClassificationSubstrate_N",-0.00308187646428058,0.168231463174188,-0.307713235784479,0.996922867642155,0.985384160177156,-0.332809485352165,0.326645732423603,15.0129212632974,3.22020831311854,3.42353147037746,4.8290100792798,3.54017140052156,3.11473524063038,77.9063816360345,11.3919325075771,0.0769927198019239,5290.4091311811
"Feature_ClassificationSubstrate_NIS","Feature_ClassificationSubstrate_NIS",0.0829955817432212,0.172062424328834,8.6537007938132,1.08653700793813,0.629552085668242,-0.254240573033943,0.420231736520385,15.0129212632974,3.22020831311854,3.42353147037746,4.8290100792798,3.54017140052156,3.11473524063038,77.9063816360345,11.3919325075771,0.0769927198019239,5290.4091311811
